# Sidewinder course roadmap — planned titles by track.
# Format: track | domain | title. Hundreds to thousands; the batch growth
# pipeline (levi sidewinder grow / stubs) turns these into corpus entries.
# Titles already built in the corpus are listed first in each section.

# == BUILD == (make it from scratch)
build | foundations | How mechanical advantage works: levers, wedges, and inclined planes
combine | general | Turn paracord into a dog leash

# == IMPROVISE == (no proper equipment — Sidewinder doctrine is the core)
improvise | crisis | Size up an emergency scene before touching a patient
improvise | crisis | Sort multiple patients with START-style triage
improvise | crisis | Emergency patient moves: drags and extrication when danger is immediate
improvise | crisis | Improvised tourniquet for life-threatening limb bleeding
improvise | crisis | Improvised pressure dressing for severe bleeding
improvise | crisis | Splint a fractured limb with found materials
improvise | crisis | Improvised stretcher and carries for evacuation
improvise | crisis | Emergency shelter from cold and rain with what you carry
improvise | crisis | Find water and make it safe when none is coming
improvise | crisis | Signal for rescue with improvised means
improvise | crisis | Treat for shock while waiting for help
improvise | foundations | Diagnosis before tools: the Sidewinder method
improvise | general | Improvise a funnel
improvise | general | Cut a straight line with no saw guide
improvise | general | Measure without a tape measure
improvise | general | Improvise a clamp
improvise | general | Open a stuck jar lid
improvise | outdoor | Start a fire with a battery and steel wool
improvise | outdoor | Pre-filter murky water with cloth and settling, then purify
improvise | outdoor | Improvise an emergency whistle and signal mirror
improvise | outdoor | Hang food safe from animals with no carabiners
improvise | outdoor | Choose and prepare an emergency bivvy site
improvise | home | Hang a picture with no hammer
improvise | home | Remove a stripped screw with a rubber band
improvise | home | Drive a nail with a rock
improvise | home | Cut drywall with a utility knife
improvise | home | Sand without sandpaper (steel wool, stone)
improvise | home | Glue without clamps (weight, tape, rope)
improvise | home | Level a shelf with a phone app
improvise | home | Find a stud with a magnet
improvise | home | Patch a hole with toothpaste
improvise | home | Stop a door slam with a towel
improvise | home | Fix a running toilet with a brick
improvise | home | Unclog a drain with a plunger and rag
improvise | home | Thaw a frozen lock with hand sanitizer
improvise | home | Open a stuck window with a putty knife
improvise | home | Remove a broken light bulb with a potato
improvise | home | Change a bulb in a high ceiling with a pole
improvise | home | Clean gutters with a leaf blower and gutter kit
improvise | home | Snake a drain with a straightened hanger
improvise | home | Solder a wire with a lighter in the field
improvise | home | Strip wire with a knife
improvise | home | Test a battery with your tongue (9V only)
improvise | home | Jump a car with a portable pack
improvise | home | Inflate a tire with a bike pump in an emergency
improvise | home | Remove a tick with tweezers or a card
improvise | home | Treat a bee sting in the field
improvise | home | Splint a finger with a popsicle stick
improvise | home | Make a sling from a shirt
improvise | home | Stop a nosebleed correctly
improvise | home | Treat a burn with cool running water
improvise | home | Treat a sprain with RICE
improvise | home | Remove a splinter with tape or a needle
improvise | home | Treat blisters on a hike
improvise | home | Make an ice pack from a bag of peas
improvise | home | Take a temperature without a thermometer
improvise | home | Check for a fever by touch points
improvise | home | Soothe a sore throat with salt water
improvise | home | Clear a stuffy nose with steam
improvise | home | Treat hiccups that won't stop
improvise | home | Calm a panic attack with breathing
improvise | home | Help someone having a seizure safely
improvise | home | Respond to a choking adult (Heimlich)
improvise | home | Respond to a choking infant
improvise | home | Do hands-only CPR
improvise | home | Use an AED when one is present
improvise | home | Treat heat exhaustion in the field
improvise | home | Treat hypothermia in the field
improvise | home | Treat frostbite without rubbing
improvise | home | Treat a snakebite: what to do and not do
improvise | home | Treat a jellyfish sting
improvise | home | Remove a fish hook from skin
improvise | home | Treat a deep cut until help arrives
improvise | home | Treat an eye injury without rubbing
improvise | home | Treat a knocked-out tooth
improvise | home | Treat a jammed finger
improvise | home | Move an injured person only when you must
improvise | home | Improvise a neck brace that doesn't help (why not)
improvise | home | Treat an allergic reaction with what you have
improvise | home | Recognize anaphylaxis and act
improvise | auto | Change a tire with the factory kit only
improvise | auto | Break loose an overtightened lug with a pipe
improvise | auto | Jack a car with no owner's manual
improvise | auto | Read a dipstick correctly
improvise | auto | Add oil with no funnel
improvise | auto | Top up coolant safely
improvise | auto | Add washer fluid
improvise | auto | Check tire pressure with a cheap gauge
improvise | auto | Air up a tire at a gas station
improvise | auto | Use fix-a-flat as a last resort
improvise | auto | Drive on a donut spare safely
improvise | auto | Rock a car out of mud or snow
improvise | auto | Use floor mats for traction
improvise | auto | Dig out a stuck car with a shovel or hands
improvise | auto | Jump a dead battery with another car
improvise | auto | Push-start a manual car
improvise | auto | Deal with an overheating engine roadside
improvise | auto | Deal with a flat at night safely
improvise | auto | Change a headlight bulb roadside
improvise | auto | Replace wiper blades in a parking lot
improvise | auto | Break into your own locked car (legal methods)
improvise | auto | Hotwire nothing: call roadside instead
improvise | outdoor | Navigate without a compass by sun and stars
improvise | outdoor | Find north with a stick and shadow
improvise | outdoor | Find north with an analog watch
improvise | outdoor | Read a topographic map
improvise | outdoor | Take a bearing and follow it
improvise | outdoor | Triangulate your position
improvise | outdoor | Backtrack with a handrail feature
improvise | outdoor | Cross a stream safely
improvise | outdoor | Treat stream water in the field
improvise | outdoor | Build a solar still
improvise | outdoor | Collect dew with a cloth
improvise | outdoor | Find water by vegetation and terrain
improvise | outdoor | Dig a seep well
improvise | outdoor | Make a fire with a ferro rod
improvise | outdoor | Make a fire with a magnifying lens
improvise | outdoor | Make a fire by friction (bow drill)
improvise | outdoor | Keep a fire going in rain
improvise | outdoor | Bank a fire overnight
improvise | outdoor | Cook on a campfire with no grate
improvise | outdoor | Make a pot hanger from a stick
improvise | outdoor | Boil water in a paper cup
improvise | outdoor | Build a debris hut
improvise | outdoor | Build a lean-to
improvise | outdoor | Build a snow trench shelter
improvise | outdoor | Build a snow cave safely
improvise | outdoor | Insulate with leaves like a mattress
improvise | outdoor | Make cordage from plant fiber
improvise | outdoor | Lash poles with a square lashing
improvise | outdoor | Tie a bowline
improvise | outdoor | Tie a clove hitch
improvise | outdoor | Tie a sheet bend
improvise | outdoor | Tie a figure-eight
improvise | outdoor | Tie a prusik loop
improvise | outdoor | Make a fish hook from a pin
improvise | outdoor | Make a spear from a sapling
improvise | outdoor | Set a legal survival snare (where lawful)
improvise | outdoor | Identify safe wild edibles in your region
improvise | outdoor | Avoid poisonous look-alikes
improvise | outdoor | Make a walking stick
improvise | outdoor | Treat a blister to keep hiking
improvise | outdoor | Cross a boulder field safely
improvise | outdoor | Descend steep scree
improvise | outdoor | Ford a river as a group
improvise | outdoor | Treat altitude sickness early
improvise | outdoor | Layer clothing for changing weather
improvise | outdoor | Dry wet boots overnight
improvise | outdoor | Keep electronics alive in the cold
improvise | outdoor | Hang a bear bag PCT-style
improvise | outdoor | Store food in bear country
improvise | outdoor | Deal with a black bear encounter
improvise | outdoor | Deal with a grizzly encounter
improvise | outdoor | Deal with a mountain lion encounter
improvise | outdoor | Deal with a moose encounter
improvise | outdoor | Avoid ticks and check for them
improvise | outdoor | Treat a tick bite and watch for rash
improvise | outdoor | Avoid lightning in the backcountry
improvise | outdoor | Survive a flash flood
improvise | outdoor | Signal aircraft with a mirror
improvise | outdoor | Make a ground-to-air signal
improvise | outdoor | Use a whistle code (3 blasts)
improvise | crisis | Improvise a chest seal for a sucking wound
improvise | crisis | Treat a burn with improvised cooling
improvise | crisis | Improvise an eye shield
improvise | crisis | Treat a diabetic emergency in the field
improvise | crisis | Recognize a stroke with FAST
improvise | crisis | Recognize a heart attack and act
improvise | crisis | Help an asthma attack without an inhaler nearby
improvise | crisis | Treat a seizure aftermath safely
improvise | crisis | Improvise a litter from clothing and poles
improvise | crisis | Carry an injured person solo when you must
improvise | crisis | Keep an injured person warm through the night
improvise | crisis | Ration water in a survival situation
improvise | crisis | Decide whether to stay or walk out
improvise | crisis | Leave a trip plan people can follow
improvise | crisis | Mark a trail for rescuers to follow
improvise | crisis | Conserve phone battery for rescue
improvise | crisis | Use SMS when calls fail
improvise | crisis | Improvise shelter in an urban disaster
improvise | crisis | Shut off gas, water, power after a quake
improvise | crisis | Treat dust inhalation after a collapse
improvise | crisis | Move through a damaged building safely

# Wave: roadmap push past 1000 (2026-09-18).
restore | plumbing | Fix a running toilet without replacing the fill valve
restore | plumbing | Quiet water hammer with an improvised arrestor
improve | plumbing | Insulate exposed pipes with on-hand materials
restore | plumbing | Free a stuck shutoff valve without breaking it
build | plumbing | Build a rain barrel from a food-grade drum
improvise | plumbing | Stop a pinhole leak with a hose clamp and rubber
restore | plumbing | Reseat a wobbly toilet on a damaged flange
improve | plumbing | Add a shutoff where the plumber skipped one
restore | plumbing | Clear a slow tub drain without chemicals
create | plumbing | Design a greywater route for the garden
restore | electrical | Replace a dead outlet safely with basic tools
restore | electrical | Fix a flickering light that is not the bulb
improve | electrical | Add task lighting under a cabinet without new wiring
restore | electrical | Silence a buzzing dimmer switch
build | electrical | Build a 12V work light from a battery and LED strip
improvise | electrical | Restore power to one room with an extension strategy
restore | electrical | Replace a broken pull-chain switch
improve | electrical | Label a breaker panel from scratch
restore | electrical | Fix a doorbell that went silent
create | electrical | Plan a small solar trickle charger for the shed
restore | auto | Change a tire with the factory kit on soft ground
improvise | auto | Start a car with a dead battery and no jumper cables nearby
restore | auto | Fix a stuck hood latch from outside
improve | auto | Stop a squealing serpentine belt temporarily
restore | auto | Replace a headlight bulb without removing the bumper
improvise | auto | Seal a cracked radiator hose well enough to reach help
restore | auto | Free a frozen door lock in winter
build | auto | Build a trunk organizer from scrap
restore | auto | Fix a sagging headliner with pins and adhesive
improve | auto | Quiet a rattling heat shield
create | auto | Design a car-camping sleep platform
combine | auto | Turn a roof basket and tarp into weatherproof storage
build | home | Frame a partition wall that comes back out clean
restore | home | Fix a cracked plaster corner
improve | home | Hang a door that actually closes
build | home | Build a workbench from construction lumber
restore | home | Repair a rotted deck board without replacing the joist
improve | home | Add blocking for a future grab bar
build | home | Build a cold-frame from old windows
restore | home | Fix a fence leaning after a storm
combine | home | Turn pallets into a potting bench
create | home | Design a mudroom from a hallway corner
improve | home | Stop a deck from bouncing with added blocking
build | home | Build a lumber rack that does not tip
build | outdoor | Build a raised bed that lasts more than two seasons
restore | outdoor | Sharpen a mower blade with a file
improve | outdoor | Grade soil away from a foundation with hand tools
build | outdoor | Build a firewood rack from scrap
improvise | outdoor | Start a cooking fire with wet wood
restore | outdoor | Fix a leaky garden hose without a kit
build | outdoor | Build a simple gate that swings true
improve | outdoor | Mulch a slope so it stops washing out
create | outdoor | Design a three-bin compost rotation
combine | outdoor | Turn a tote and PVC into a drip system
restore | outdoor | Rehang a fallen gutter section
build | outdoor | Build a bat house from one board
restore | fasteners | Remove a rusted bolt without snapping it
improvise | fasteners | Drive a screw with no screwdriver that fits
restore | fasteners | Fix a bolt that spins in place
improve | fasteners | Keep outdoor screws from rusting out
build | fasteners | Make a wooden dowel joint as strong as screws
restore | fasteners | Extract a broken drill bit from wood
improvise | fasteners | Clamp a glue-up with rope and wedges
combine | fasteners | Turn mismatched bolts into a usable set
build | general | Build a sawhorse pair that stacks flat
improve | general | Tune a hand plane to take shavings
restore | general | Fix a wobbly fan without a balancing kit
build | general | Make a marking gauge from scrap
improvise | general | Cut a straight line with no straightedge
restore | general | Unstick a zipper that will not budge
improve | general | Make a dull knife usefully sharp on a stone
build | general | Build a drying rack for the laundry
combine | general | Turn a bucket and rope into a well pulley
create | general | Design a one-page project plan before buying anything
improve | general | Organize a toolbox so every tool has a home
restore | general | Fix a stripped thread with a helicoil-style insert
build | general | Build a birdhouse that birds actually use
improvise | general | Weigh something heavy with a bathroom scale and leverage
create | general | Sketch a part so someone else can make it
combine | general | Turn two broken tools into one working tool
improvise | crisis | Improvise a sling from a shirt or towel
improvise | crisis | Splint a finger with a pen and tape
improvise | crisis | Signal rescuers with a mirror or phone screen
improvise | crisis | Keep a shock victim warm with whatever is dry
improvise | crisis | Move a victim with a blanket drag safely
improvise | crisis | Treat a nosebleed that will not stop
improvise | crisis | Improvise eye protection in dust or debris
improvise | crisis | Find and signal help when the phone is dead
improvise | crisis | Keep a sprained ankle usable for evacuation
improvise | crisis | Treat minor burns with clean cool water
improve | home | Make old windows draft-free without replacing them
improve | general | Make a wheelbarrow roll true again
improve | outdoor | Make a dull axe bite again
improve | auto | Make headlights clear without a kit
improve | plumbing | Make a shower drain faster without chemicals
improve | electrical | Make a workshop brighter without new circuits
improve | fasteners | Make a wobbly table rock-solid
improve | home | Make a closet hold twice as much
restore | home | Clean a furnace filter housing properly
improve | home | Seal duct leaks you can reach
restore | home | Unstick a thermostat that reads wrong
improve | home | Balance a room that never heats evenly
restore | general | Fix a window AC that drips inside
improve | general | Aim a fan to actually cool a room
build | outdoor | Build a chicken tractor from scrap lumber
restore | outdoor | Mend a broken fence wire splice
improve | outdoor | Keep water troughs from freezing without power
build | outdoor | Build a root cellar vent from pipe
create | outdoor | Plan a year of firewood without running short
combine | outdoor | Turn barrels into a rainwater chain
restore | general | Sharpen pruners and loppers correctly
build | general | Build a beehive stand that stays level
improve | outdoor | Keep deer out of a garden without a tall fence
restore | outdoor | Fix a wheelbarrow flat with a tube patch
build | general | Build a welding cart from angle iron
restore | general | Fix a cracked weld with proper prep
improve | general | Keep a grinder cutting instead of glazing
restore | general | Straighten a bent steel bracket cold
build | general | Build a metal brake from scrap for small bends
improvise | general | Drill metal cleanly with a hand drill
combine | general | Turn an old dresser into a workbench base
combine | home | Turn cabinet doors into a room divider
combine | outdoor | Turn a trampoline frame into a garden trellis
combine | auto | Turn seatbelts into heavy-duty straps
combine | general | Turn a file cabinet into a smoker
create | general | Design a folding work table for a small shop
create | home | Design a pantry from dead cabinet space
create | outdoor | Design a shade structure for the patio
create | general | Design a jig before cutting the real parts
combine | general | Turn scrap pipe into a lumber rack
# Built 2026-09-18 (CREATE/COMBINE strengthening) — listed for coverage.
create | general | Design a wall-mounted storage shelf from the load down
create | outdoor | Plan a small vegetable garden layout
combine | outdoor | Build a compost bin from pallet wood
combine | general | Turn a ladder and planks into a work platform
